name,mean,min,median,max,count,70%,80%,90%
evtree_quantile_1,-0.113,-0.698,0.02,0.205,13,0.065,0.074,0.081
treebag_asis_2,-0.026,-0.568,0.02,0.196,20,0.091,0.155,0.177
glmboost_quantile_2,-0.093,-0.803,0.02,0.246,19,0.145,0.157,0.19
lasso_quantile_2,-0.071,-0.793,0.02,0.422,19,0.148,0.165,0.207
pcr_quantile_1,0.042,-0.513,0.02,0.423,12,0.103,0.174,0.269
rf_quantile_1,0.036,-0.341,0.021,0.406,12,0.101,0.12,0.219
BstLm_quantile_2,-0.066,-0.758,0.021,0.327,19,0.156,0.174,0.271
ridge_YeoJohnson_2,-0.139,-2.266,0.021,0.344,19,0.166,0.207,0.28
extraTrees_YeoJohnson_2,0.013,-0.272,0.022,0.423,19,0.075,0.121,0.201
glmboost_range01_2,0.048,-0.048,0.022,0.193,4,0.101,0.132,0.162
enet_range01_2,0.073,-0.092,0.022,0.339,4,0.076,0.164,0.251
kernelpls_range01_1,-0.337,-3,0.022,0.381,19,0.225,0.249,0.325
cforest_quantile_2,-0.005,-0.3,0.023,0.36,19,0.065,0.089,0.125
svmPoly_quantile_2,0.027,-0.45,0.023,0.575,19,0.157,0.171,0.211
gamboost_quantile_1,-0.012,-0.468,0.023,0.519,13,0.148,0.218,0.273
rvmLinear_range01_1,-0.004,-0.439,0.023,0.337,19,0.153,0.221,0.241
svmPoly_YeoJohnson_2,0.003,-0.382,0.024,0.277,19,0.128,0.169,0.211
SL.kernelKnn_range01_1,0.025,0.025,0.025,0.025,1,0.025,0.025,0.025
foba_range01_2,0.052,-0.169,0.025,0.327,4,0.155,0.212,0.27
parRF_YeoJohnson_2,0.006,-0.245,0.027,0.239,19,0.091,0.115,0.154
treebag_YeoJohnson_2,-0.03,-0.356,0.029,0.167,19,0.06,0.072,0.155
SL.ksvm_range01_1,0.03,0.03,0.03,0.03,1,0.03,0.03,0.03
kknn_YeoJohnson_2,0.054,-0.408,0.031,0.392,19,0.167,0.222,0.311
bagEarth_quantile_2,-0.009,-0.396,0.032,0.216,19,0.089,0.093,0.107
gaussprRadial_quantile_2,0.027,-0.32,0.035,0.388,19,0.065,0.117,0.218
gaussprPoly_quantile_2,-0.036,-0.542,0.035,0.222,19,0.106,0.118,0.195
krlsRadial_all_2,0.037,0.037,0.037,0.037,1,0.037,0.037,0.037
svmRadialCost_all_2,0.04,0.04,0.04,0.04,1,0.04,0.04,0.04
pcr_range01_1,0.001,-0.315,0.041,0.255,19,0.095,0.146,0.17
glmnet_quantile_2,-0.056,-0.713,0.041,0.369,19,0.134,0.157,0.222
kknn_quantile_2,0.01,-0.469,0.041,0.287,19,0.142,0.177,0.203
leapForward_all_2,0.043,0.043,0.043,0.043,1,0.043,0.043,0.043
extraTrees_range01_2,0.035,-0.026,0.044,0.078,4,0.073,0.074,0.076
gaussprPoly_range01_2,0.054,-0.059,0.044,0.185,4,0.11,0.135,0.16
ranger_range01_2,0.01,-0.152,0.047,0.098,4,0.074,0.082,0.09
bartMachine_asis_2,0.027,-0.478,0.048,0.319,20,0.15,0.195,0.25
svmPoly_range01_2,-0.026,-0.219,0.049,0.093,3,0.067,0.075,0.084
krlsRadial_quantile_1,0.009,-0.296,0.049,0.206,12,0.076,0.091,0.117
ranger_quantile_1,0.049,-0.339,0.049,0.331,12,0.111,0.185,0.2
extraTrees_quantile_1,0.013,-0.505,0.05,0.391,13,0.177,0.18,0.246
RRF_YeoJohnson_2,-0.014,-0.259,0.052,0.185,17,0.075,0.107,0.155
svmRadial_quantile_2,0.023,-0.352,0.052,0.436,19,0.153,0.173,0.283
widekernelpls_range01_1,-0.248,-3,0.054,0.395,19,0.098,0.185,0.281
avNNet_range01_1,-0.015,-0.424,0.054,0.359,19,0.136,0.191,0.237
earth_all_2,0.056,0.056,0.056,0.056,1,0.056,0.056,0.056
cubist_range01_1,-0.077,-0.695,0.056,0.271,18,0.106,0.126,0.147
svmRadialSigma_quantile_2,0.019,-0.501,0.056,0.395,19,0.124,0.154,0.316
Rborist_quantile_1,0.054,-0.295,0.056,0.423,12,0.147,0.189,0.195
enet_quantile_2,-0.059,-0.713,0.059,0.26,19,0.156,0.184,0.217
bartMachine_quantile_1,0.008,-0.385,0.06,0.312,13,0.116,0.19,0.238
treebag_range01_2,0.053,0.012,0.065,0.082,3,0.072,0.075,0.079
xgbTree_quantile_1,0.021,-0.454,0.068,0.367,12,0.152,0.187,0.232
