Sat Dec 28 07:28:59 2019,1,-0.639,-0.639,-0.639,-0.639,-0.639,-0.639,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
Sat Dec 28 08:43:40 2019,1,-0.639,-0.639,-0.639,-0.639,-0.639,-0.639,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
Wed Dec 11 01:23:08 2019,1,-0.638,-0.638,-0.638,-0.638,-0.638,-0.638,-0.864,-0.864,-0.864,-0.864,-0.864,-0.864
Fri Dec 13 21:07:31 2019,1,-0.638,-0.638,-0.638,-0.638,-0.638,-0.638,-0.864,-0.864,-0.864,-0.864,-0.864,-0.864
Wed Dec 18 21:34:45 2019,1,-0.638,-0.638,-0.638,-0.638,-0.638,-0.638,-0.864,-0.864,-0.864,-0.864,-0.864,-0.864
Mon Dec 23 07:42:27 2019,1,-0.638,-0.638,-0.638,-0.638,-0.638,-0.638,-0.864,-0.864,-0.864,-0.864,-0.864,-0.864
Thu Dec 26 11:58:05 2019,1,-0.638,-0.638,-0.638,-0.638,-0.638,-0.638,-0.864,-0.864,-0.864,-0.864,-0.864,-0.864
Sat Dec 28 09:36:29 2019,1,-0.638,-0.638,-0.638,-0.638,-0.638,-0.638,-0.864,-0.864,-0.864,-0.864,-0.864,-0.864
Sun Dec 22 19:45:22 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Mon Dec 23 20:49:24 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Mon Dec 23 22:28:28 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Mon Dec 23 22:57:32 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Wed Dec 25 01:49:10 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Wed Dec 25 07:29:36 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Wed Dec 25 08:08:58 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Fri Dec 27 09:20:12 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Fri Dec 27 12:00:08 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Fri Dec 27 13:15:42 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Sun Dec 29 11:05:02 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Sun Dec 29 18:42:12 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Sun Dec 29 20:10:18 2019,1,-0.628,-0.628,-0.628,-0.628,-0.628,-0.628,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
Mon Dec 23 04:40:36 2019,1,-0.623,-0.623,-0.623,-0.623,-0.623,-0.623,-0.838,-0.838,-0.838,-0.838,-0.838,-0.838
