0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:49:51 2018,glmnet_h2o,1,1,kaggle housing,ignore,none,YeoJohnson,312
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:49:56 2018,glmStepAIC,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:50:30 2018,icr,1,1,kaggle housing,ignore,none,YeoJohnson,33
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:50:35 2018,kernelpls,1,1,kaggle housing,ignore,none,YeoJohnson,5
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:50:55 2018,kknn,1,1,kaggle housing,ignore,none,YeoJohnson,20
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:53:45 2018,knn,1,1,kaggle housing,ignore,none,YeoJohnson,169
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:53:52 2018,krlsPoly,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:53:58 2018,krlsRadial,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:03 2018,lars,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:07 2018,lars2,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:12 2018,lasso,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:16 2018,leapBackward,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:21 2018,leapForward,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:25 2018,leapSeq,1,1,kaggle housing,ignore,none,YeoJohnson,3
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:30 2018,lm,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:34 2018,lmStepAIC,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:45 2018,logicBag,1,1,kaggle housing,ignore,none,YeoJohnson,10
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:54:58 2018,logreg,1,1,kaggle housing,ignore,none,YeoJohnson,12
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:55:47 2018,M5,1,1,kaggle housing,ignore,none,YeoJohnson,48
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:56:11 2018,M5Rules,1,1,kaggle housing,ignore,none,YeoJohnson,23
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:56:34 2018,msaenet,1,1,kaggle housing,ignore,none,YeoJohnson,22
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:57:04 2018,nnet,1,1,kaggle housing,ignore,none,YeoJohnson,30
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:57:08 2018,nnls,1,1,kaggle housing,ignore,none,YeoJohnson,3
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:57:18 2018,ordinalNet,1,1,kaggle housing,ignore,none,YeoJohnson,9
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:57:29 2018,parRF,1,1,kaggle housing,ignore,none,YeoJohnson,10
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:57:49 2018,pcaNNet,1,1,kaggle housing,ignore,none,YeoJohnson,20
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 21:57:55 2018,pcr,1,1,kaggle housing,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,PackageFail,Sat Jan 06 21:58:01 2018,pls,1,1,kaggle housing,ignore,none,YeoJohnson,5
0.648,0.628,0.015,0.144,0.107,Sat Jan 06 22:16:00 2018,plsRglm,1,1,kaggle housing,ignore,none,YeoJohnson,0.390060869855618,random,253,1079,nohyperparameters,8,3,no rep,no min,3,1
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:16:09 2018,ppr,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,PackageFail,Sat Jan 06 22:16:15 2018,pythonKnnReg,1,1,kaggle housing,ignore,none,YeoJohnson,5
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:16:22 2018,qrf,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:00 2018,qrnn,1,1,kaggle housing,ignore,none,YeoJohnson,38
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:08 2018,ranger,1,1,kaggle housing,ignore,none,YeoJohnson,8
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:15 2018,Rborist,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:17 2018,relaxo,1,1,kaggle housing,ignore,none,YeoJohnson,1
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:23 2018,rf,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:31 2018,ridge,1,1,kaggle housing,ignore,none,YeoJohnson,7
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:17:45 2018,rlm,1,1,kaggle housing,ignore,none,YeoJohnson,14
0.574,0.545,0.019,0.176,0.13,Sat Jan 06 22:17:51 2018,rpart,1,1,kaggle housing,ignore,none,YeoJohnson,0.390060869855618,random,253,5,cv,20,3,1,5,0.00120275877412817
0.477,0.456,-1,0.211,0.159,Sat Jan 06 22:17:56 2018,rpart1SE,1,1,kaggle housing,ignore,none,YeoJohnson,0.390060869855618,random,253,3,cv,20,3,1,5,none
0.477,0.456,0.02,0.211,0.159,Sat Jan 06 22:18:01 2018,rpart2,1,1,kaggle housing,ignore,none,YeoJohnson,0.390060869855618,random,253,4,cv,20,3,1,5,15
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:18:12 2018,rqlasso,1,1,kaggle housing,ignore,none,YeoJohnson,11
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:18:25 2018,rqnc,1,1,kaggle housing,ignore,none,YeoJohnson,12
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:29:19 2018,RRF,1,1,kaggle housing,ignore,none,YeoJohnson,653
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:29:30 2018,RRFglobal,1,1,kaggle housing,ignore,none,YeoJohnson,10
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:29:36 2018,rvmLinear,1,1,kaggle housing,ignore,none,YeoJohnson,5
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:29:55 2018,rvmPoly,1,1,kaggle housing,ignore,none,YeoJohnson,19
Fail,Fail,Fail,Fail,Fail,Sat Jan 06 22:29:56 2018,rvmRadial,1,1,kaggle housing,ignore,none,YeoJohnson,0
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:18:42 2018,SBC,1,1,kaggle housing,ignore,none,YeoJohnson,24525
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:18:48 2018,simpls,1,1,kaggle housing,ignore,none,YeoJohnson,5
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:18:56 2018,spikeslab,1,1,kaggle housing,ignore,none,YeoJohnson,8
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:04 2018,spls,1,1,kaggle housing,ignore,none,YeoJohnson,308
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:11 2018,superpc,1,1,kaggle housing,ignore,none,YeoJohnson,6
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:12 2018,svmBoundrangeString,1,1,kaggle housing,ignore,none,YeoJohnson,0
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:13 2018,svmExpoString,1,1,kaggle housing,ignore,none,YeoJohnson,0
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:24 2018,svmLinear,1,1,kaggle housing,ignore,none,YeoJohnson,11
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:36 2018,svmLinear2,1,1,kaggle housing,ignore,none,YeoJohnson,11
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:24:46 2018,svmLinear3,1,1,kaggle housing,ignore,none,YeoJohnson,9
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:25:31 2018,svmPoly,1,1,kaggle housing,ignore,none,YeoJohnson,44
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:25:32 2018,svmRadial,1,1,kaggle housing,ignore,none,YeoJohnson,0
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:25:43 2018,svmRadialCost,1,1,kaggle housing,ignore,none,YeoJohnson,10
Fail,Fail,Fail,Fail,Fail,Sun Jan 07 05:25:45 2018,svmRadialSigma,1,1,kaggle housing,ignore,none,YeoJohnson,0
