spearman,pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.358,-0.002,0.033,-1,1.4,1.23,Tue Mar 26 23:47:03 2019,blassoAveraged,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,165,222,1.443,1.091,random,740,cv,10,10,NA,5,,,,,,,,,,0,5,3.27,18,3.58,21,3.57,29,3.49,31,3.42,54,3.45,69,3.43,90,3.46,94,3.41,111,3.41,115,3.48,117,3.44,128,3.47
0.186,-0.03,0.003,-1,1.44,1.27,Tue Mar 26 23:58:58 2019,bridge,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,47,222,1.443,1.091,random,715,cv,10,10,NA,5,,,,,,,,,,0,5,3.45,18,3.48,21,3.49,29,3.47,31,3.46,54,3.47,69,3.47,90,3.47,94,3.46,111,3.46,115,3.47,117,3.47,128,3.47
0.199,0.111,0.127,1.08,1.26,1.09,Tue Mar 26 23:59:48 2019,BstLm,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,49,cv,10,10,NA,5,,,,,,,,,,0,5,2.48,18,4.34,21,3.53,29,3.76,31,2.92,54,3.42,69,3.18,90,3.55,94,3.14,111,3.29,115,3.68,117,3.26,128,3.6
0.4,0.149,0.134,1.04,1.25,1.05,Wed Mar 27 00:00:40 2019,cforest,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,422,222,1.443,1.091,random,50,cv,10,10,NA,5,,,,,,,,,,0,5,3.02,18,3.87,21,3.46,29,3.63,31,3.04,54,3.4,69,3.48,90,3.65,94,2.44,111,3.26,115,4.03,117,2.97,128,3.63
NA,-0.033,0,1.09,1.44,1.27,Wed Mar 27 00:02:31 2019,ctree,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,7,cv,10,10,NA,5,,,,,,,,,,0,5,3.47,18,3.47,21,3.47,29,3.47,31,3.47,54,3.47,69,3.47,90,3.47,94,3.47,111,3.47,115,3.47,117,3.47,128,3.47
NA,-0.033,0,1.08,1.44,1.27,Wed Mar 27 00:02:38 2019,ctree2,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,7,cv,10,10,NA,5,,,,,,,,,,0,5,3.47,18,3.47,21,3.47,29,3.47,31,3.47,54,3.47,69,3.47,90,3.47,94,3.47,111,3.47,115,3.47,117,3.47,128,3.47
0.084,0.066,0.062,1.1,1.35,1.15,Wed Mar 27 00:04:07 2019,cubist,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,1,222,1.443,1.091,random,88,cv,10,10,NA,5,,,,,,,,,,0,5,2.86,18,3.66,21,3.12,29,3.88,31,2.7,54,3.47,69,3.61,90,3.28,94,2.25,111,3.22,115,4.37,117,2.89,128,4.13
0.014,-0.115,-0.048,1.43,1.51,1.37,Wed Mar 27 00:04:40 2019,dnn,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,432,222,1.443,1.091,random,4,cv,10,10,NA,5,,,,,,,,,,0,5,2.72,18,2.72,21,2.72,29,2.72,31,2.72,54,2.72,69,2.72,90,2.72,94,2.72,111,2.72,115,2.72,117,2.72,128,2.72
0.161,0.083,0.038,1.27,1.39,1.13,Wed Mar 27 00:04:53 2019,earth,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,624,222,1.443,1.091,random,12,cv,10,10,NA,5,,,,,,,,,,0,5,2.97,18,4.13,21,3.03,29,3.56,31,1.94,54,3.4,69,4.18,90,3.51,94,3.13,111,2.95,115,4.12,117,2.59,128,3.52
0,-0.001,0,1.13,1.44,1.23,Wed Mar 27 00:04:58 2019,elm,1,2,9thbadbooksPCAincRpca_unsort_every_blanket_only100,ignore,none,expoTrans,LAPTOPBBQ,fullPCAs9bk10,3,10,403,386,222,1.443,1.091,random,2,cv,10,10,NA,5,,,,,,,,,,0,5,2.99,18,2.96,21,3.57,29,4.08,31,3.35,54,3.5,69,3.68,90,3.5,94,3.5,111,3.53,115,3.59,117,3.53,128,3.53
