pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11 
0.468,0.457,2.38,2.39,1.93,Sun May 13 20:57:17 2018,foba,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,18,cv,10,10,1,5,8,3.18693167760894e-05
0.468,0.457,2.38,2.39,1.93,Sun May 13 20:58:36 2018,gamSpline,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,77,cv,10,10,1,5,0.128197955200449
Fail,Fail,Fail,Fail,Fail,Sun May 13 20:59:08 2018,gaussprLinear,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,32
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:05:37 2018,gbm_h2o,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,1,222,389
0.468,0.457,-1,2.39,1.93,Sun May 13 21:06:02 2018,gcvEarth,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,25,cv,10,10,1,5,1
0.468,0.457,-1,2.39,1.93,Sun May 13 21:06:05 2018,glm,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,2,cv,10,10,1,5,none
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:06:19 2018,glm.nb,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,13
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:07:52 2018,glmboost,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,93,cv,10,10,1,5,592,no
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:08:04 2018,glmnet,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,11,cv,10,10,1,5,0.385885051451623,0.0147316256302074
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:14:31 2018,glmnet_h2o,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,1,222,387
0.468,0.457,-1,2.39,1.93,Sun May 13 21:14:59 2018,glmStepAIC,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,28,cv,10,10,1,5,none
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:15:44 2018,icr,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,200,222,4.405,4.39,random,44,cv,10,10,1,5,10
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:15:50 2018,kernelpls,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,4,cv,10,10,1,5,3
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:17:58 2018,krlsPoly,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,128
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:20:05 2018,krlsRadial,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,128
0.428,0.419,2.56,2.56,2.07,Sun May 13 21:20:09 2018,lars,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,3,cv,10,10,1,5,0.690075013786554
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:20:13 2018,lars2,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,2,cv,10,10,1,5,10
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:20:18 2018,lasso,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,4,cv,10,10,1,5,0.989747674204409
0.468,0.457,-1,2.39,1.93,Sun May 13 21:20:21 2018,lm,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,2,cv,10,10,1,5,TRUE
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:20:54 2018,logicBag,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,32
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:21:24 2018,logreg,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,30
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:21:26 2018,M5,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,575,222,1
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:21:27 2018,M5Rules,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,386,222,1
0.468,0.457,2.38,2.39,1.93,Sun May 13 21:28:17 2018,msaenet,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,409,cv,10,10,1,5,0.869107395154424,9,0.426462206291035
0.11,0.084,4.03,4.04,3.23,Sun May 13 21:45:51 2018,nnet,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,205,222,4.405,4.39,random,1054,cv,10,10,1,5,17,0.184501285857035
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:45:58 2018,nnls,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,6
Fail,Fail,Fail,Fail,Fail,Sun May 13 21:46:23 2018,ordinalNet,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,25
0.11,0.084,4.03,4.04,3.23,Sun May 13 22:03:05 2018,pcaNNet,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,205,222,4.405,4.39,random,1002,cv,10,10,1,5,17,0.611470437650809
0.432,0.417,2.57,2.57,2.06,Sun May 13 22:03:09 2018,pcr,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,3,cv,10,10,1,5,8
Fail,Fail,Fail,Fail,PackageFail,Sun May 13 22:03:42 2018,pls,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,32
0.468,0.457,2.38,2.39,1.93,Sun May 13 22:08:14 2018,plsRglm,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,272,cv,10,10,1,5,4,0.100127592496574
0.781,0.773,1.01,1,0.796,Sun May 13 22:09:29 2018,ppr,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,73,cv,10,10,1,5,4
Fail,Fail,Fail,Fail,PackageFail,Sun May 13 22:09:33 2018,pythonKnnReg,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,3
0.775,0.767,1.04,1.02,0.818,Sun May 13 22:24:33 2018,ranger,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,2,222,4.405,4.39,random,899,cv,10,10,1,5,4
0.769,0.762,1.07,1.05,0.838,Sun May 13 22:57:22 2018,Rborist,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,606,222,4.405,4.39,random,1970,cv,10,10,1,5,7
0.468,0.457,2.38,2.39,1.93,Sun May 13 22:58:05 2018,relaxo,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,40,cv,10,10,1,5,754.08057908485,0.163553370395675
0.775,0.767,1.04,1.02,0.818,Mon May 14 06:54:26 2018,rf,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,356,222,4.405,4.39,random,28580,cv,10,10,1,5,4
0.468,0.457,2.38,2.39,1.93,Mon May 14 06:55:17 2018,ridge,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,49,cv,10,10,1,5,0.00096102600833826
0.468,0.457,2.38,2.39,1.93,Mon May 14 06:55:31 2018,rlm,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,13,cv,10,10,1,5,TRUE,psi.hampel
0.779,0.772,1.02,1,0.802,Mon May 14 06:55:49 2018,rpart,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,16,cv,10,10,1,5,5.97572158903928e-06
0.663,0.653,-1,1.53,1.22,Mon May 14 06:55:58 2018,rpart1SE,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,166,222,4.405,4.39,random,8,cv,10,10,1,5,none
0.663,0.653,1.54,1.53,1.22,Mon May 14 06:56:04 2018,rpart2,1,2,OpenML 2dplanes,ignore,none,YeoJohnson,LAPTOP-1SBQTC5I,15th10hp10cvml,1,5,403,624,222,4.405,4.39,random,6,cv,10,10,1,5,11
