0.075,0.078,1.349,1.351,1.076,Sun Feb 18 15:39:59 2018,krlsPoly,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,73,cv,20,3,1,5,0.0614640883229692,2
0.998,0.997,0.004,0.004,0.002,Sun Feb 18 15:42:07 2018,krlsRadial,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,127,cv,20,3,1,5,1.44840269436309e-05,388.331553089752
0.992,0.991,0.013,0.013,0.009,Sun Feb 18 15:42:09 2018,lars,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,2,cv,20,3,1,5,0.995381984394044
0.013,0.014,1.417,1.44,1.146,Sun Feb 18 15:42:11 2018,lars2,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,2
0.992,0.991,0.013,0.013,0.009,Sun Feb 18 15:42:13 2018,lasso,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,0.995381984394044
0.993,0.992,0.011,0.011,0.008,Sun Feb 18 15:42:15 2018,leapBackward,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,2,cv,20,3,1,5,2
0.993,0.992,0.011,0.011,0.008,Sun Feb 18 15:42:16 2018,leapForward,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,2
0.993,0.992,0.011,0.011,0.008,Sun Feb 18 15:42:18 2018,leapSeq,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,2
0.993,0.992,-1,0.011,0.008,Sun Feb 18 15:42:19 2018,lm,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,TRUE
0.993,0.992,-1,0.011,0.008,Sun Feb 18 15:42:21 2018,lmStepAIC,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,none
Fail,Fail,Fail,Fail,Fail,Sun Feb 18 15:42:25 2018,logicBag,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sun Feb 18 15:42:30 2018,logreg,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,4
Fail,Fail,Fail,Fail,Fail,Sun Feb 18 15:42:31 2018,M5,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1
Fail,Fail,Fail,Fail,Fail,Sun Feb 18 15:42:32 2018,M5Rules,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,0
0.993,0.992,0.011,0.011,0.008,Sun Feb 18 15:42:41 2018,msaenet,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,9,cv,20,3,1,5,0.945843785954639,5,1.48017534322571
-0.001,0,1.158,1.46,1.162,Sun Feb 18 15:42:52 2018,nnet,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,10,cv,20,3,1,5,17,7.4588285884598e-05
Fail,Fail,Fail,Fail,Fail,Sun Feb 18 15:42:55 2018,nnls,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Sun Feb 18 15:42:58 2018,ordinalNet,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,3
0.942,0.911,0.172,0.13,0.068,Sun Feb 18 15:43:06 2018,parRF,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,7,cv,20,3,1,5,2
0.307,0.196,1.158,1.168,0.803,Sun Feb 18 15:43:18 2018,pcaNNet,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,11,cv,20,3,1,5,17,7.4588285884598e-05
0.748,0.742,-1,0.377,0.292,Sun Feb 18 15:43:19 2018,pcr,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,1,cv,20,3,1,5,1
Fail,Fail,Fail,Fail,PackageFail,Sun Feb 18 15:43:24 2018,pls,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,4
0.993,0.992,0.011,0.011,0.008,Sun Feb 18 15:43:33 2018,plsRglm,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,9,cv,20,3,1,5,2,0.197382774343714
0.998,0.998,0.038,0.003,0.002,Sun Feb 18 15:43:36 2018,ppr,1,1,basic sum C1 + C2,ignore,none,YeoJohnson,1.46026913213984,random,291,2,cv,20,3,1,5,2
