spearman,pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,bac latent features,ignore,none,asis,CLOUD,10hp10cv,1,5,403,624,222,0.9,0.9284,random,434,cv,10,10,NA,5,15,1.3312352844514,0.968602964049205,1.30087468028069,1.36411243351176,,,
1,1,1,-1,0.00289,0.00233,Wed Aug 15 12:38:59 2018,perfect,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,62,222,1.173,2.173,random,NA,nohyperparameters,1,20,no rep,no min,,,,,,,,,,0,15,2.46,21,0.42,38,1.27
Fail,Fail,Fail,Fail,Fail,Wed Aug 15 12:47:56 2018,MAJOR FAIL in CARET.ENS,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,NA
1,0.889,0.931,0.807,0.0836,0.0808,Wed Aug 15 13:10:51 2018,ctree2,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,12,cv,10,20,NA,5,,,,,,,,,,0,15,2.56,21,0.369,38,1.18
-1,-2.023,-0.954,1.61,2.29,2.14,Wed Aug 15 13:11:02 2018,dnn,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,277,222,1.173,2.173,random,7,cv,10,20,NA,5,,,,,,,,,,0,15,-0.753,21,-0.753,38,-0.753
1,0.979,0.986,0.0182,0.0155,0.0123,Wed Aug 15 13:11:10 2018,earth,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,7,cv,10,20,NA,5,,,,,,,,,,0,15,2.45,21,0.395,38,1.28
1,0.843,0.87,0.178,0.151,0.111,Wed Aug 15 13:11:18 2018,elm,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,464,222,1.173,2.173,random,6,cv,10,20,NA,5,,,,,,,,,,0,15,2.2,21,0.468,38,1.24
1,0.907,0.94,0.0915,0.0724,0.068,Wed Aug 15 13:11:33 2018,enet,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,14,cv,10,20,NA,5,,,,,,,,,,0,15,2.49,21,0.512,38,1.2
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:11:36 2018,extraTrees,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,523,222,3
1,0.907,0.932,0.0812,0.081,0.0662,Wed Aug 15 13:11:41 2018,foba,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,4,cv,10,20,NA,5,,,,,,,,,,0,15,2.46,21,0.522,38,1.18
1,0.143,0.352,2.09,0.76,0.603,Wed Aug 15 13:12:48 2018,gamSpline,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,66,cv,10,20,NA,5,,,,,,,,,,0,15,1.79,21,-0.712,38,1.28
1,0.72,0.797,-1,0.24,0.197,Wed Aug 15 13:12:52 2018,gaussprLinear,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,3,cv,10,20,NA,5,,,,,,,,,,0,15,2.79,21,0.17,38,1.28
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:15:43 2018,gbm_h2o,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,1,222,170
1,0.932,0.945,-1,0.0639,0.0485,Wed Aug 15 13:15:45 2018,gcvEarth,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,2,cv,10,20,NA,5,,,,,,,,,,0,15,2.35,21,0.427,38,1.24
0.25,-0.4,-0.037,-1,1.22,0.987,Wed Aug 15 13:15:48 2018,glm,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,2,cv,10,20,NA,5,,,,,,,,,,0,15,0.606,21,-0.579,38,1.38
0.25,-0.4,-0.037,1.13,1.22,0.987,Wed Aug 15 13:15:52 2018,glm.nb,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,3,cv,10,20,NA,5,,,,,,,,,,0,15,0.606,21,-0.579,38,1.38
1,0.706,0.79,0.328,0.247,0.208,Wed Aug 15 13:16:13 2018,glmboost,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,21,cv,10,20,NA,5,,,,,,,,,,0,15,2.79,21,0.157,38,1.3
1,0.704,0.791,0.32,0.246,0.209,Wed Aug 15 13:16:25 2018,glmnet,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,9,cv,10,20,NA,5,,,,,,,,,,0,15,2.8,21,0.172,38,1.31
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:18:57 2018,glmnet_h2o,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,1,222,151
1,0.111,0.323,-1,0.794,0.629,Wed Aug 15 13:19:19 2018,glmStepAIC,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,22,cv,10,20,NA,5,,,,,,,,,,0,15,1.14,21,0.148,38,0.975
1,-0.208,0.192,1.18,0.947,0.851,Wed Aug 15 13:19:44 2018,icr,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,104,222,1.173,2.173,random,23,cv,10,20,NA,5,,,,,,,,,,0,15,2.08,21,-0.966,38,2.07
1,0.632,0.687,0.655,0.369,0.26,Wed Aug 15 13:19:52 2018,kernelpls,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,4,nohyperparameters,1,20,no rep,no min,,,,,,,,,,0,15,3.08,21,0.281,38,1.29
0.25,-0.384,0.016,1.79,1.15,0.975,Wed Aug 15 13:19:58 2018,krlsPoly,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,4,cv,10,20,NA,5,,,,,,,,,,0,15,2.19,21,2.19,38,2.17
1,0.888,0.932,0.1,0.0824,0.0812,Wed Aug 15 13:20:01 2018,lars,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,3,cv,10,20,NA,5,,,,,,,,,,0,15,2.53,21,0.52,38,1.2
1,0.936,0.961,0.0874,0.0489,0.0472,Wed Aug 15 13:20:05 2018,lars2,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,2,cv,10,20,NA,5,,,,,,,,,,0,15,2.5,21,0.452,38,1.21
-0.25,-53734.813,-43655.478,224000,51300,38000,Wed Aug 15 13:20:08 2018,lasso,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,3,cv,10,20,NA,5,,,,,,,,,,0,15,-86600,21,-12600,38,14700
0.25,-0.4,-0.037,-1,1.22,0.987,Wed Aug 15 13:20:11 2018,lm,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,2,cv,10,20,NA,5,,,,,,,,,,0,15,0.606,21,-0.579,38,1.38
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:20:16 2018,logicBag,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,6
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:20:22 2018,logreg,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,5
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:20:24 2018,M5,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,3,222,2
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:20:25 2018,M5Rules,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,6,222,2
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:20:52 2018,mlpKerasDecay,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,9,222,27
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:20:54 2018,mlpKerasDropout,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,12,222,2
1,0.784,0.85,0.269,0.177,0.152,Wed Aug 15 13:21:10 2018,msaenet,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,16,cv,10,20,NA,5,,,,,,,,,,0,15,2.74,21,0.342,38,1.37
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 15 13:21:46 2018,mxnet,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,36
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 15 13:21:51 2018,mxnetAdam,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,4
0.25,-0.093,0.218,1.91,0.917,0.773,Wed Aug 15 13:22:11 2018,nnet,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,287,222,1.173,2.173,random,20,cv,10,20,NA,5,,,,,,,,,,0,15,1,21,0.975,38,0.968
1,0.444,0.63,-1,0.435,0.393,Wed Aug 15 13:22:14 2018,nnls,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,1,cv,10,20,NA,5,,,,,,,,,,0,15,3.11,21,0.093,38,1.48
NA,-0.404,0,-1,1.17,0.99,Wed Aug 15 13:22:16 2018,null,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,1,cv,10,20,NA,5,,,,,,,,,,0,15,2.21,21,2.21,38,2.21
1,-0.09,0.216,1.71,0.919,0.77,Wed Aug 15 13:22:24 2018,pcaNNet,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,29,222,1.173,2.173,random,8,cv,10,20,NA,5,,,,,,,,,,0,15,1,21,1,38,1
-0.25,-0.402,-0.002,2.14,1.18,0.988,Wed Aug 15 13:22:29 2018,pcr,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,4,nohyperparameters,1,20,no rep,no min,,,,,,,,,,0,15,2.21,21,2.22,38,2.19
Fail,Fail,Fail,Fail,PackageFail,Wed Aug 15 13:22:33 2018,pls,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,4
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:22:37 2018,plsRglm,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,3,222,4
1,0.959,0.974,0.227,0.0299,0.0295,Wed Aug 15 13:22:53 2018,ppr,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,624,222,1.173,2.173,random,16,cv,10,20,NA,5,,,,,,,,,,0,15,2.42,21,0.394,38,1.25
Fail,Fail,Fail,Fail,Fail,Fail,Wed Aug 15 13:22:56 2018,ranger,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,523,222,2
1,0.916,0.939,0.31,0.0727,0.0593,Wed Aug 15 13:26:19 2018,Rborist,1,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,531,222,1.173,2.173,random,203,cv,10,20,NA,5,,,,,,,,,,0,15,2.57,21,0.407,38,1.32
